service_id,date,exception_type
16902,20231126,1
6302,20231126,1
16902,20231203,1
6302,20231203,1
16902,20231210,1
6302,20231210,1
16902,20231217,1
6302,20231217,1
16902,20231224,1
6302,20231224,1
16902,20231225,1
2,20231225,1
3,20231225,2
16902,20231226,1
6902,20231226,1
2,20231226,1
3,20231226,2
17002,20231231,1
17102,20231231,1
16902,20240101,1
2,20240101,1
3,20240101,2
16902,20240107,1
6302,20240107,1
16902,20240114,1
6302,20240114,1
16902,20240121,1
6302,20240121,1
16902,20240128,1
6302,20240128,1
16902,20240204,1
6302,20240204,1
16902,20240211,1
6302,20240211,1
16902,20240218,1
6302,20240218,1
16902,20240219,1
6902,20240219,1
2,20240219,1
3,20240219,2
16902,20240225,1
6302,20240225,1
